,2018,2019,2020,2021,2022
Alabama,10,1,11,5,22
Alaska,25,7,9,29,24
Arizona,1,6,5,12,42
Arkansas,26,10,13,8,4
California,16,12,4,11,48
Colorado,15,13,14,19,38
Connecticut,32,45,43,44,0
Delaware,8,41,38,42,3
Florida,24,3,3,9,29
Georgia,38,16,15,18,33
Hawaii,14,21,19,21,41
Idaho,29,25,33,26,39
Illinois,23,39,35,35,10
Indiana,30,22,29,22,35
Iowa,49,31,36,31,47
Kansas,34,34,41,32,28
Kentucky,21,14,16,7,5
Louisiana,2,12,10,10,8
Maine,11,44,45,39,7
Maryland,39,35,24,30,20
Massachusetts,43,49,49,49,31
Michigan,40,20,25,23,1
Minnesota,48,33,30,33,19
Mississippi,12,0,0,0,11
Missouri,18,9,17,3,24
Montana,0,23,23,28,26
Nebraska,37,48,47,41,37
Nevada,4,4,1,15,21
New Hampshire,33,42,40,43,6
New Jersey,47,18,8,38,17
New Mexico,6,38,44,2,16
New York,31,24,37,45,12
North Carolina,7,26,26,34,32
North Dakota,9,46,20,26,44
Ohio,45,37,42,37,45
Oklahoma,17,17,21,4,13
Oregon,22,15,12,14,34
Pennsylvania,26,34,32,48,15
Rhode Island,13,43,31,40,40
South Carolina,5,11,6,17,30
South Dakota,36,29,27,36,18
Tennessee,27,8,2,6,27
Texas,3,5,7,1,23
Utah,42,40,48,44,49
Vermont,44,47,46,47,9
Virginia,46,32,28,24,43
Washington,35,19,28,25,25
West Virginia,41,28,34,27,2
Wisconsin,19,27,22,20,46
Wyoming,20,30,39,13,36